"DataCategoryGroupName","DataCategoryName","Id","ParentId"
"KB_General","employees_v","02oQk000000eBZRIA2","ka0Qk000000CCrpIAG"
"KB_General","employees_v","02oQk000000eBcfIAE","ka0Qk000000CCtRIAW"
"KB_General","employees_v","02oQk000000eBftIAE","ka0Qk000000CCv3IAG"
"KB_General","employees_v","02oQk000000eVzZIAU","ka0Qk000000CGQnIAO"
"KB_General","employees_v","02oQk000000ezsnIAA","ka0Qk000000CSgTIAW"
"KB_General","employees_v","02oQk000000f61RIAQ","ka0Qk000000CV01IAG"
"KB_General","employees_v","02oQk000000f83FIAQ","ka0Qk000000CVPpIAO"
"KB_General","employees_v","02oQk000000fH9lIAE","ka0Qk000000CW0vIAG"
"KB_General","employees_v","02oQk000000fN2HIAU","ka0Qk000000CX0DIAW"
"KB_General","employees_v","02oQk000000fry1IAA","ka0Qk000000CceDIAS"
"KB_General","employees_v","02oQk000000gHSfIAM","ka0Qk000000ChFhIAK"
"KB_General","employees_v","02oQk000000gKqLIAU","ka0Qk000000ChxFIAS"
"KB_General","employees_v","02oQk000000gVDtIAM","ka0Qk000000CjarIAC"
"KB_General","employees_v","02oQk000000gq2DIAQ","ka0Qk000000CluPIAS"
"KB_General","employees_v","02oQk000000hLcHIAU","ka0Qk000000CqndIAC"
"KB_General","employees_v","02oQk000000hLijIAE","ka0Qk000000CqqrIAC"
"KB_General","employees_v","02oQk000000hLkLIAU","ka0Qk000000CqsTIAS"
"KB_General","employees_v","02oQk000000hX7BIAU","ka0Qk000000CtS9IAK"
"KB_General","employees_v","02oQk000000hbE1IAI","ka0Qk000000CuCvIAK"
"KB_General","employees_v","02oQk000000hbFdIAI","ka0Qk000000CuEXIA0"
"KB_General","employees_v","02oQk000000hwS9IAI","ka0Qk000000CwoDIAS"
"KB_General","employees_v","02oQk000000hyQjIAI","ka0Qk000000Cxh3IAC"
"KB_General","employees_v","02oQk000000hz8HIAQ","ka0Qk000000CyLNIA0"
"KB_General","employees_v","02oQk000000hzeXIAQ","ka0Qk000000CyWfIAK"
"KB_General","employees_v","02oQk000000i8ujIAA","ka0Qk000000D0F7IAK"
"KB_General","employees_v","02oQk000000iF3NIAU","ka0Qk000000D0NBIA0"
"KB_General","employees_v","02oQk000000iF6bIAE","ka0Qk000000D0OnIAK"
"KB_General","employees_v","02oQk000000iHtBIAU","ka0Qk000000D16LIAS"
"KB_General","employees_v","02oQk000000iHwPIAU","ka0Qk000000D19ZIAS"
"KB_General","employees_v","02oQk000000ikvBIAQ","ka0Qk000000D5BZIA0"
"KB_General","employees_v","02oQk000000jA85IAE","ka0Qk000000D7lFIAS"
"KB_General","employees_v","02oQk000000jAcjIAE","ka0Qk000000D7q5IAC"
"KB_General","employees_v","02oQk000000jAhZIAU","ka0Qk000000D7rhIAC"
"KB_General","employees_v","02oQk000000jApdIAE","ka0Qk000000D7tJIAS"
"KB_General","employees_v","02oQk000000jDkHIAU","ka0Qk000000D8e5IAC"
"KB_General","employees_v","02oQk000000jDnVIAU","ka0Qk000000D8fhIAC"
"KB_General","employees_v","02oQk000000jDvZIAU","ka0Qk000000D8hJIAS"
"KB_General","employees_v","02oQk000000jWi5IAE","ka0Qk000000DAmLIAW"
"KB_General","employees_v","02oQk000000jZzJIAU","ka0Qk000000DC09IAG"
"KB_General","employees_v","02oQk000000jaH3IAI","ka0Qk000000DC1lIAG"
"KB_General","employees_v","02oQk000000jaSLIAY","ka0Qk000000DC8DIAW"
